10.0 	1.38373
20.0 	1.197748
30.0 	1.106244
40.0 	1.089024
50.0 	1.073099
60.0 	1.056862
70.0 	1.040183
80.0 	1.022984
90.0 	1.005244
100.0 	0.986974
110.0 	0.968209
120.0 	0.949000
130.0 	0.929390
140.0 	0.909416
150.0 	0.889114
160.0 	0.868518
170.0 	0.847659
180.0 	0.826560
190.0 	0.805242
200.0 	0.783720
210.0 	0.762007
220.0 	0.740115
230.0 	0.718054
240.0 	0.695834
250.0 	0.673462
260.0 	0.650949
270.0 	0.628302
280.0 	0.605528
290.0 	0.582637
300.0 	0.559639
310.0 	0.536542
320.0 	0.513361
330.0 	0.490106
340.0 	0.466760
350.0 	0.443371
