        cld hd  LNA    Vac   Turbo Turbo Turbo elec.  botm  brng motor board inlet  pax  exhst rjctn housn  Fan  crnt  max   min   
  Time    (K)   (K)    mbar   RPM   amps watts  (C)   (C)   (C)   (C)   (C)   (C)   (C)   (C)   (C)   (C)   RPM watts watts watts  
17:32:35 330.2 177.1 4.2e-03 90015 123.5   101    50    51    52    53  29.0  31.0  27.6  28.0 ----- ----- 1634 170.0 230.0  70.0 N
17:32:55 330.2 177.1 4.3e-03 90015 123.5   101    50    51    52    53  29.0  31.0  27.5  28.0 ----- ----- 1630 170.0 230.0  70.0 N
17:33:15 330.2 177.1 4.3e-03 90015 123.5   101    50    51    52    53  29.0  30.9  27.7  28.0 ----- ----- 1652 170.0 230.0  70.0 N
17:33:35 330.2 177.1 4.3e-03 90015 123.5   101    50    51    52    53  29.0  30.9  27.5  28.0 ----- ----- 1629 170.0 230.0  70.0 N
17:33:55 330.2 177.1 4.3e-03 90015 123.5   101    50    51    52    53  29.0  30.9  27.6  28.0 ----- ----- 1658 170.0 230.0  70.0 N
17:34:15 330.2 177.1 4.3e-03 90015 123.5   101    50    51    52    53  29.0  30.9  27.6  28.0 ----- ----- 1639 170.0 230.0  70.0 N
17:34:35 330.2 177.1 4.2e-03 90015 123.5   101    50    51    52    53  29.0  31.0  27.7  28.0 ----- ----- 1636 170.0 230.0  70.0 N
17:34:55 330.2 177.1 4.3e-03 90015 123.5   101    50    51    52    53  29.0  31.0  27.6  28.0 ----- ----- 1649 170.0 230.0  70.0 N
17:35:15 330.2 177.1 4.1e-03 90015 123.5   101    50    51    52    53  29.0  31.0  27.4  28.0 ----- ----- 1633 170.0 230.0  70.0 N
17:35:35 330.2 177.1 4.1e-03 90015 123.5   101    50    51    52    53  29.0  31.0  27.5  28.0 ----- ----- 1647 170.0 230.0  70.0 N
17:35:55 330.2 177.1 4.2e-03 90015 123.5   101    50    51    52    53  29.0  31.0  27.6  28.0 ----- ----- 1652 170.0 230.0  70.0 N
17:36:15 330.2 177.1 4.3e-03 90015 123.5   101    50    51    52    53  29.0  31.0  27.4  28.0 ----- ----- 1637 170.0 230.0  70.0 N
17:36:35 330.2 177.1 4.4e-03 90015 123.5   101    50    51    52    53  29.0  31.0  27.4  28.0 ----- ----- 1648 170.0 230.0  70.0 N
17:36:55 330.2 177.1 4.3e-03 90015 123.5   101    50    51    52    53  29.0  31.0  27.5  28.0 ----- ----- 1641 170.0 230.0  70.0 N
17:37:16 330.2 177.1 4.2e-03 90015 123.5   101    50    51    52    53  29.0  31.0  27.5  28.0 ----- ----- 1663 170.0 230.0  70.0 N
17:37:36 330.2 177.1 4.3e-03 90015 123.5   101    50    51    52    53  29.0  31.0  27.1  28.0 ----- ----- 1645 170.0 230.0  70.0 N
17:37:56 330.2 177.1 4.3e-03 90015 123.5   101    50    51    52    53  29.1  30.9  27.3  28.0 ----- ----- 3294 170.0 230.0  70.0 N
17:38:03 330.2 177.1 4.2e-03 90015 123.5   101    50    51    52    53  29.0  30.9  27.4  28.0 ----- ----- 3292 170.0 230.0  70.0 N
17:39:07 330.2 177.1 4.2e-03 90015 123.5   101    50    51    52    53  29.1  31.0  27.8  28.0 ----- ----- 1411 170.0 230.0  70.0 N
17:40:07 330.2 177.1 4.3e-03 90015 123.5   101    50    51    52    53  29.0  31.0  28.0  28.0 ----- ----- 1379 170.0 230.0  70.0 N
17:41:08 330.2 177.1 4.2e-03 90015 123.5   101    50    51    52    53  29.1  31.0  27.8  28.0 ----- ----- 1360 170.0 230.0  70.0 N
17:42:08 330.2 177.1 4.3e-03 90015 123.5   101    50    51    52    53  29.1  31.0  27.8  28.0 ----- ----- 1385 170.0 230.0  70.0 N
17:43:08 330.2 177.1 4.3e-03 90015 123.5   101    50    51    52    53  29.2  31.0  27.9  28.0 ----- ----- 1376 170.0 230.0  70.0 N
17:44:08 330.2 177.1 4.2e-03 90015 123.5   101    50    51    52    53  29.1  31.0  27.6  28.0 ----- ----- 1378 170.0 230.0  70.0 N
17:45:08 330.2 177.1 4.2e-03 90015 123.5   101    50    51    52    53  29.2  31.0  27.5  28.0 ----- ----- 1371 170.0 230.0  70.0 N
17:46:08 330.2 177.1 4.3e-03 90015 123.5   101    50    51    52    53  29.4  31.0  27.5  28.0 ----- ----- 1384 170.0 230.0  70.0 N
17:47:08 330.2 177.1 4.2e-03 90015 123.5   101    50    51    52    53  29.4  31.0  27.9  28.0 ----- ----- 1384 170.0 230.0  70.0 N
17:48:08 330.2 177.1 4.3e-03 90015 123.5   101    50    51    52    53  29.3  31.0  27.6  28.0 ----- ----- 1392 170.0 230.0  70.0 N
17:49:08 330.2 177.1 4.1e-03 90015 123.5   101    50    51    52    53  29.3  31.0  27.9  28.0 ----- ----- 1390 170.0 230.0  70.0 N
17:50:08 330.2 177.1 4.2e-03 90015 123.5   101    50    51    52    53  29.8  31.0  27.9  28.0 ----- ----- 1378 170.0 230.0  70.0 N
17:50:55 330.2 123.2 7.8e+01 90015 123.5   101    50    51    52    53  29.4  31.0  27.8  28.0 ----- ----- 1394 170.0 230.0  70.0 N
17:51:42 330.2 144.0 ------- 90015 123.5   101    50    51    52    53  29.9  31.0  27.9  28.0 ----- ----- 1366 170.0 230.0  70.0 N
17:52:07 330.2 144.2 1.5e-04 90015 123.5   101    50    51    52    53  29.7  31.0  28.0  28.0 ----- ----- 1400 170.0 230.0  70.0 N
17:53:07 330.2 144.4 1.6e-04 90015 123.5   101    50    51    52    53  29.7  31.0  27.9  28.0 ----- ----- 1381 170.0 230.0  70.0 N
17:54:07 330.2 144.5 1.5e-04 90015 123.5   101    50    51    52    53  29.6  31.0  27.9  28.0 ----- ----- 1379 170.0 230.0  70.0 N
17:55:07 330.2 144.5 1.5e-04 90015 123.5   101    50    51    52    53  29.8  31.0  28.0  28.0 ----- ----- 1394 170.0 230.0  70.0 N
17:56:07 330.2 144.5 1.5e-04 90015 123.5   101    50    51    52    53  29.6  31.0  27.8  28.0 ----- ----- 1378 170.0 230.0  70.0 N
17:57:07 330.2 144.4 1.5e-04 90015 123.5   101    50    51    52    53  29.9  31.0  28.0  28.0 ----- ----- 1382 170.0 230.0  70.0 N
17:58:07 330.2 144.3 1.5e-04 90015 123.5   101    50    51    52    53  29.7  31.0  28.0  28.0 ----- ----- 1374 170.0 230.0  70.0 N
17:59:08 330.2 144.5 1.5e-04 90015 123.5   101    50    51    52    53  29.9  31.0  27.9  28.0 ----- ----- 1394 170.0 230.0  70.0 N
18:00:08 330.2 144.5 1.5e-04 90015 123.5   101    50    51    52    53  29.8  31.0  28.0  28.0 ----- ----- 1394 170.0 230.0  70.0 N
18:01:08 330.2 144.4 1.5e-04 90015 123.5   101    50    51    52    53  29.9  31.0  28.0  28.0 ----- ----- 1378 170.0 230.0  70.0 N
